ES Best, ES Average
-61.650948, -116.269144
-39.995348, -110.513859
-33.442709, -110.171731
-45.217299, -107.102085
-51.402286, -105.485626
9.217081, -92.909139
-27.609122, -93.487890
5.266469, -87.134319
69.127008, -80.593610
28.721566, -80.081736
24.613234, -68.845063
41.503940, -62.375883
73.752013, -78.547575
128.917137, -75.096704
57.070125, -68.102831
46.574571, -65.141159
121.375622, -52.106076
156.651828, -30.303139
131.335742, -37.414916
145.477401, -22.690940
186.137950, -14.262232
203.575028, -5.663677
213.419080, -3.446626
229.047321, 19.972189
270.909124, 16.404490
279.460824, 56.510308
269.692114, 13.566400
252.398173, 28.904766
274.415891, 83.832188
280.304252, 87.637590
278.577402, 125.877914
283.489862, 130.523404
283.112038, 145.558407
286.302889, 176.003451
288.224689, 138.679749
285.647323, 147.312121
284.469841, 179.248789
287.025802, 159.046156
