NEAT Best, NEAT Average
-67.801, -116.207
-77.354, -109.460
-47.498, -102.740
-43.190, -100.931
-43.766, -101.578
-44.246, -95.335
-45.227, -96.070
-39.368, -95.358
-37.078, -92.629
-34.320, -92.333
-32.422, -89.044
-28.933, -91.088
-32.915, -87.441
21.364, -86.634
22.827, -79.197
-3.819, -83.392
38.380, -73.717
54.919, -74.915
37.484, -76.971
42.704, -57.758
51.081, -55.190
67.129, -51.034
63.141, -63.559
67.356, -63.548
64.255, -63.525
81.224, -60.693
113.204, -59.457
85.248, -61.006
113.061, -57.573
101.449, -56.134
119.830, -29.646
114.213, -38.910
104.294, -41.673
106.402, -45.410
126.589, -21.703
90.665, -35.299
91.200, -34.995
91.030, -33.097
97.184, -27.950
97.948, -24.437
102.458, -25.567
101.585, -23.751
113.321, 7.595
116.057, -4.028
113.685, -4.180
108.673, 5.471
118.476, -8.689
112.245, 2.512
107.444, 6.467
104.784, 1.037
106.928, -13.975
106.260, -12.211
108.477, -13.176
104.749, -14.538
104.340, -16.843
106.201, -29.455
113.297, -34.651
115.891, -29.605
113.898, -21.066
120.284, -20.958
118.989, -18.813
117.335, -17.414
115.203, -5.472
115.224, -22.315
119.229, -28.423
117.374, -27.528
118.499, -26.338
119.749, -20.544
118.441, -25.320
119.565, -31.932
122.544, -33.186
123.103, -32.761
123.124, -33.513
123.434, -40.357
126.634, -45.639
148.007, -34.186
126.916, -37.716
126.440, -38.272
132.316, -30.328
124.895, -42.466
129.565, -45.258
127.105, -45.016
128.417, -41.929
126.746, -46.443
126.944, -44.783
125.837, -39.984
129.536, -41.378
129.079, -38.451
130.678, -46.418
127.011, -38.065
129.350, -35.441
143.345, -5.176
142.352, -24.909
135.366, -40.921
139.276, -36.724
133.355, -44.018
139.397, -36.287
136.941, -31.464
142.387, -36.483
140.439, -35.405
