NEAT Best, NEAT Average
47.667, 13.933
55.333, 13.880
150.000, 21.320
107.333, 35.667
182.667, 25.040
179.000, 44.587
120.667, 33.900
162.333, 45.307
147.667, 45.453
213.000, 34.027
195.000, 55.907
205.667, 52.667
204.667, 64.973
227.333, 82.080
232.667, 89.893
238.000, 83.040
694.000, 95.953
881.333, 164.447
874.000, 144.940
1601.000, 281.987
1641.000, 278.160
1487.333, 301.053
8369.667, 733.520
9720.667, 816.633
10000.000, 1412.420
10000.000, 948.387
10000.000, 1518.673
10000.000, 974.580
10000.000, 1957.673
