NEAT Best, NEAT Average
-113.118, -569.508
-82.185, -371.728
-55.552, -298.519
-60.135, -293.440
-37.401, -243.563
-34.317, -225.154
68.379, -219.418
-8.289, -194.045
-4.400, -166.352
34.832, -166.571
-10.974, -170.291
13.234, -181.668
-1.313, -160.781
76.770, -142.431
0.606, -150.364
10.265, -133.955
54.882, -137.932
31.977, -136.358
56.491, -148.320
43.896, -138.687
62.268, -145.065
61.128, -146.205
58.586, -119.339
43.175, -122.657
66.023, -96.330
80.447, -112.223
79.488, -104.449
90.766, -103.932
79.699, -132.903
82.342, -126.963
125.452, -114.444
107.010, -109.831
119.133, -103.730
129.222, -96.372
124.973, -94.463
168.504, -93.230
173.700, -112.766
118.921, -110.024
138.033, -98.097
148.758, -94.069
139.916, -75.776
113.606, -96.333
141.681, -96.960
134.306, -111.413
127.965, -81.882
124.775, -92.778
149.530, -104.373
158.558, -88.589
132.497, -83.111
186.784, -75.848
188.121, -92.232
169.257, -85.926
123.142, -89.281
173.243, -80.971
147.869, -77.693
134.969, -95.494
161.179, -83.633
151.584, -75.889
149.025, -81.925
167.969, -85.870
211.146, -89.603
183.656, -86.349
170.030, -80.235
173.425, -82.175
191.315, -77.391
160.152, -68.366
197.747, -84.412
210.831, -68.970
227.286, -84.607
195.554, -73.527
201.858, -74.989
187.269, -77.639
209.324, -83.205
221.261, -78.171
196.389, -76.874
188.053, -88.606
198.177, -72.937
191.253, -82.465
182.726, -87.034
240.644, -57.713
214.373, -67.650
233.891, -67.603
212.352, -78.367
225.637, -65.037
178.821, -79.503
212.108, -47.040
226.714, -66.063
207.935, -49.151
240.037, -45.901
213.716, -57.407
233.335, -74.234
199.385, -59.810
210.132, -74.067
214.776, -67.721
223.525, -79.003
203.208, -84.076
232.030, -72.620
198.397, -74.135
205.798, -81.796
226.958, -71.014
210.994, -75.285
