ES Best, ES Average
-19.000000, -20.968000
-18.000000, -20.977000
-19.000000, -20.970000
-17.000000, -20.929000
-16.000000, -20.907000
-17.000000, -20.877000
-15.000000, -20.872000
-17.000000, -20.862000
-15.000000, -20.819000
-13.000000, -20.805000
-12.000000, -20.744000
-14.000000, -20.683000
-15.000000, -20.695000
-9.000000, -20.657000
-14.000000, -20.577000
-14.000000, -20.512000
-11.000000, -20.455000
-6.000000, -20.313000
-11.000000, -20.328000
-9.000000, -20.210000
-10.000000, -20.308000
-7.000000, -20.375000
-5.000000, -20.275000
-8.000000, -20.320000
-8.000000, -20.093000
-6.000000, -19.908000
-8.000000, -20.011000
-5.000000, -20.104000
-5.000000, -19.829000
-8.000000, -19.932000
-7.000000, -19.764000
-5.000000, -19.949000
-4.000000, -19.875000
-6.000000, -19.729000
-7.000000, -19.730000
-5.000000, -19.629000
-3.000000, -19.483000
-5.000000, -19.385000
-7.000000, -19.665000
-5.000000, -19.330000
-3.000000, -19.276000
-2.000000, -19.185000
-2.000000, -18.987000
-4.000000, -19.158000
-5.000000, -19.238000
-2.000000, -18.997000
-1.000000, -18.762000
-2.000000, -18.633000
-5.000000, -18.466000
1.000000, -18.536000
-1.000000, -18.500000
-2.000000, -18.284000
-4.000000, -18.232000
-1.000000, -18.083000
2.000000, -17.680000
-5.000000, -17.630000
-2.000000, -17.291000
1.000000, -17.056000
3.000000, -17.342000
-1.000000, -17.076000
-1.000000, -17.099000
-2.000000, -16.868000
-1.000000, -16.613000
-1.000000, -16.487000
-3.000000, -16.551000
-3.000000, -16.007000
1.000000, -16.348000
-3.000000, -16.088000
-1.000000, -15.521000
-1.000000, -15.753000
-1.000000, -15.311000
-1.000000, -15.553000
-4.000000, -15.273000
2.000000, -15.017000
-1.000000, -14.699000
-15.000000, -20.876000
-14.000000, -20.867000
-15.000000, -20.852000
-11.000000, -20.812000
-12.000000, -20.753000
-10.000000, -20.694000
-12.000000, -20.668000
-11.000000, -20.635000
-12.000000, -20.660000
-7.000000, -20.490000
-6.000000, -20.457000
-9.000000, -20.407000
-10.000000, -20.407000
-9.000000, -20.245000
-8.000000, -20.145000
-5.000000, -20.051000
-14.000000, -20.863000
-10.000000, -20.824000
-13.000000, -20.764000
-8.000000, -20.673000
-10.000000, -20.739000
-9.000000, -20.528000
-10.000000, -20.589000
-8.000000, -20.582000
-5.000000, -20.453000
-8.000000, -20.422000
-8.000000, -20.456000
-7.000000, -20.471000
-8.000000, -20.477000
-9.000000, -20.433000
-9.000000, -20.392000
-8.000000, -20.323000
-11.000000, -20.766000
-11.000000, -20.705000
-10.000000, -20.694000
-9.000000, -20.585000
-10.000000, -20.543000
-6.000000, -20.338000
-9.000000, -20.461000
-7.000000, -20.364000
-7.000000, -20.141000
-6.000000, -20.259000
-10.000000, -20.243000
-6.000000, -20.002000
-5.000000, -20.049000
-5.000000, -19.763000
-8.000000, -20.126000
-5.000000, -19.818000
-13.000000, -20.694000
-7.000000, -20.601000
-8.000000, -20.468000
-10.000000, -20.374000
-9.000000, -20.315000
-7.000000, -20.286000
-7.000000, -20.198000
-6.000000, -20.108000
-6.000000, -20.044000
