NEAT Best, NEAT Average 
-21.000, -21.000
-20.000, -20.990
-20.000, -20.990
-21.000, -21.000
-21.000, -21.000
-21.000, -21.000
-20.000, -20.980
-20.000, -20.980
-20.000, -20.990
-20.000, -20.990
-19.000, -20.970
-20.000, -20.940
-20.000, -20.910
-20.000, -20.930
-20.000, -20.910
-20.000, -20.910
-20.000, -20.930
-20.000, -20.950
-19.000, -20.930
-20.000, -20.970
-20.000, -20.930
-20.000, -20.930
-19.000, -20.940
-20.000, -20.960
-20.000, -20.910
-19.000, -20.900
-20.000, -20.920
-18.000, -20.860
-20.000, -20.950
-18.000, -20.890
-17.000, -20.890
-17.000, -20.920
-17.000, -20.840
-18.000, -20.860
-16.000, -20.860
-19.000, -20.880
-19.000, -20.870
-18.000, -20.900
-18.000, -20.880
-17.000, -20.830
-15.000, -20.780
-19.000, -20.860
-17.000, -20.870
-19.000, -20.880
-14.000, -20.770
-18.000, -20.850
-18.000, -20.830
-19.000, -20.870
-17.000, -20.740
-18.000, -20.750
-14.000, -20.680
-19.000, -20.830
-18.000, -20.860
-17.000, -20.870
-19.000, -20.890
-18.000, -20.860
-17.000, -20.850
-16.000, -20.750
-16.000, -20.790
-17.000, -20.770
-17.000, -20.820
-15.000, -20.760
-15.000, -20.750
-16.000, -20.640
-16.000, -20.760
-16.000, -20.690
-17.000, -20.770
-18.000, -20.730
-18.000, -20.820
-16.000, -20.800
-17.000, -20.860
-17.000, -20.800
-17.000, -20.760
-15.000, -20.780
-16.000, -20.800
-13.000, -20.580
-15.000, -20.740
-16.000, -20.680
-18.000, -20.820
-18.000, -20.670
-17.000, -20.800
-16.000, -20.640
-15.000, -20.710
-16.000, -20.660
-17.000, -20.720
-18.000, -20.680
-16.000, -20.760
-17.000, -20.700
-17.000, -20.610
-16.000, -20.480
-16.000, -20.640
-15.000, -20.480
-17.000, -20.610
-16.000, -20.690
-17.000, -20.680
-15.000, -20.570
-16.000, -20.630
-13.000, -20.640
-16.000, -20.680
-16.000, -20.710
-16.000, -20.640
-15.000, -20.700
-16.000, -20.620
-15.000, -20.680
-17.000, -20.720
-16.000, -20.630
-17.000, -20.580
-15.000, -20.750
-17.000, -20.620
-17.000, -20.750
-16.000, -20.730
-16.000, -20.600
-16.000, -20.690
-14.000, -20.580
-17.000, -20.550
-14.000, -20.620
-16.000, -20.630
-16.000, -20.660
-17.000, -20.780
-16.000, -20.740
-18.000, -20.750
-16.000, -20.690
