ES Best, ES Average
3.058470, 2.763756
3.057622, 2.869095
3.164539, 2.930948
3.235840, 3.014333
3.293023, 3.152749
3.334923, 3.235093
3.377831, 3.291878
3.421231, 3.343977
3.507358, 3.396886
3.577992, 3.456593
3.734988, 3.527250
3.813211, 3.601566
3.908316, 3.677119
3.915199, 3.729146
3.937982, 3.845452
3.950367, 3.895962
3.962075, 3.905752
3.975202, 3.937538
3.986974, 3.959892
3.995463, 3.969184
3.997519, 3.975169
3.998399, 3.975480
3.999557, 3.994834
3.999809, 3.997886
3.999951, 3.998696
3.999989, 3.994998
3.999996, 3.997707
3.999999, 3.999039
4.000000, 3.999929
4.000000, 3.999395
4.000000, 3.998806
4.000000, 3.999592
4.000000, 3.999802
4.000000, 3.997808
4.000000, 3.982393
4.000000, 3.992497
4.000000, 3.994684
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
4.000000, 4.000000
