NEAT Best, NEAT Average
3.081, 2.674
3.129, 2.737
3.157, 2.791
3.275, 2.801
3.291, 2.825
3.291, 2.844
3.395, 2.871
3.395, 2.800
3.395, 2.669
3.433, 2.836
3.433, 2.859
3.482, 2.900
3.562, 2.929
3.562, 2.932
3.562, 2.957
3.562, 2.918
3.562, 2.933
3.562, 2.931
3.583, 2.887
3.583, 2.936
3.583, 2.905
3.583, 2.928
3.638, 2.932
3.638, 2.748
3.638, 2.918
3.638, 2.889
3.638, 2.931
3.638, 2.959
3.638, 2.965
3.638, 2.888
3.638, 2.933
3.638, 2.966
3.639, 2.970
3.639, 2.958
3.647, 2.917
3.647, 2.943
3.647, 2.960
3.662, 2.986
3.662, 2.972
3.662, 2.997
3.662, 2.977
3.700, 2.987
3.700, 2.859
3.700, 2.992
3.700, 2.989
3.700, 3.023
3.700, 3.010
3.700, 3.025
3.700, 3.022
3.700, 3.018
3.700, 3.039
3.709, 3.020
3.709, 3.010
3.709, 3.039
3.709, 3.082
3.709, 2.945
3.709, 3.028
3.871, 3.025
3.871, 2.972
3.871, 3.018
3.871, 3.013
3.871, 3.047
3.871, 3.044
3.926, 3.050
3.988, 3.067
3.988, 3.110
3.988, 3.138
3.994, 3.145
3.994, 3.142
3.995, 3.155
3.996, 3.196
3.999, 3.130
3.999, 3.043
4.000, 3.176
4.000, 3.170
4.000, 3.196
4.000, 3.175
4.000, 3.027
4.000, 3.093
4.000, 3.229
4.000, 3.157
4.000, 3.187
4.000, 3.189
4.000, 3.206
4.000, 3.214
4.000, 3.239
4.000, 3.211
4.000, 3.222
4.000, 3.103
4.000, 3.197
4.000, 3.190
4.000, 3.206
4.000, 3.215
4.000, 3.234
4.000, 3.181
4.000, 3.224
4.000, 3.185
4.000, 3.228
4.000, 3.222
4.000, 3.221
